Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
146240567,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 01:44:27",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146242424,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 01:53:21",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146243888,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:00:04",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146245019,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:05:50",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146245790,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:10:39",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146246627,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:15:30",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146247737,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:21:23",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146249117,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:29:55",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146250149,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:36:33",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146251292,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:43:20",40,huyht14,huyht14,"2019-12-25 03:10:23","2019-12-25 03:38:49"
146252147,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 02:50:08",0,none,none,none,none
146278985,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 09:06:21",0,none,none,none,none
146279093,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 09:07:26",0,none,none,none,none
146279135,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 09:07:56",0,none,none,none,none
146279231,"Binh Thanh 2","BC Nguyen Cong Tru (HCM)","2019-12-25 09:08:50",0,none,none,none,none
