Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
146403410,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:58:54",0,none,none,none,none
146403569,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 13:59:09",0,none,none,none,none
146404430,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:00:21",0,none,none,none,none
146411462,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:16:25",0,none,none,none,none
146412233,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:18:52",0,none,none,none,none
146415212,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:25:28",0,none,none,none,none
146416397,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:28:55",0,none,none,none,none
146416832,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:30:30",0,none,none,none,none
146420630,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:41:01",0,none,none,none,none
146422457,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:45:35",0,none,none,none,none
146426801,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 14:55:48",0,none,none,none,none
146429243,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:01:55",0,none,none,none,none
146432051,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:07:06",0,none,none,none,none
146433953,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:10:48",0,none,none,none,none
146434754,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:12:42",1,none,none,none,none
146437514,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:17:53",0,none,none,none,none
146438408,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:19:28",0,none,none,none,none
146439518,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:21:36",0,none,none,none,none
146441813,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:25:28",0,none,none,none,none
146444981,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:31:29",0,none,none,none,none
146445956,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:33:13",0,none,none,none,none
146448119,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:37:07",0,none,none,none,none
146449457,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:39:55",0,none,none,none,none
146453777,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:46:01",0,none,none,none,none
146454731,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:47:27",0,none,none,none,none
146456195,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:49:32",0,none,none,none,none
146458040,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:53:00",0,none,none,none,none
146459672,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:56:02",0,none,none,none,none
146459759,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:56:09",0,none,none,none,none
146460737,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:57:46",0,none,none,none,none
146461385,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 15:58:54",0,none,none,none,none
146462318,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 16:00:39",0,none,none,none,none
146464136,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 16:03:28",0,none,none,none,none
146465381,"Binh Thanh 2","BC Nguyen Van Cu (HCM)","2019-12-25 16:05:40",0,none,none,none,none
