Ma_bao,Kho_nguon,Kho_dich,Ngay_tao,So_don,Nguoi_xuat,Nguoi_nhap,Gio_xuat,Gio_nhap
146295965,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 10:10:02",0,none,none,none,none
146327465,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 11:17:32",7,hieuqdt,nhatt2,"2019-12-25 11:41:49","2019-12-25 11:57:15"
146367362,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 12:52:43",8,haonmd,nhandv5,"2019-12-25 12:58:23","2019-12-25 13:34:09"
146392325,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 13:37:45",2,haonmd,chienlt4,"2019-12-25 14:02:02","2019-12-25 14:25:58"
146397026,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 13:47:35",10,haonmd,chienlt4,"2019-12-25 14:02:02","2019-12-25 14:25:58"
146429396,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 15:02:15",3,huongptl,chienlt4,"2019-12-25 15:04:46","2019-12-25 15:25:34"
146475740,"BC Nguyen Cong Tru (HCM)","Binh Thanh 2","2019-12-25 16:24:27",0,none,none,none,none
